name,category,ats,token,url,n_jobs,checked_at
Access Bank,bank,ashby,access,https://api.ashbyhq.com/posting-api/job-board/access,17,2026-08-10T16:24:50+00:00
Aldermore,bank,pinpoint,aldermore,https://aldermore.pinpointhq.com/postings.json,5,2026-08-16T06:51:38+00:00
BTG Pactual,bank,greenhouse,btgpactual,https://boards-api.greenhouse.io/v1/boards/btgpactual/jobs?content=false,294,2026-08-10T16:08:02+00:00
CICC,bank,bamboohr,cicc,https://cicc.bamboohr.com/careers/list,1,2026-08-10T16:08:20+00:00
Close Brothers,bank,ashby,close,https://api.ashbyhq.com/posting-api/job-board/close,7,2026-08-10T16:08:03+00:00
Commercial Bank of Dubai,bank,bamboohr,commercial,https://commercial.bamboohr.com/careers/list,8,2026-08-10T16:25:10+00:00
Credit Agricole CIB,bank,greenhouse,creditagricolecib,https://boards-api.greenhouse.io/v1/boards/creditagricolecib/jobs?content=false,1,2026-08-10T16:24:28+00:00
DBS Bank,bank,personio,dbs,https://dbs.jobs.personio.com/xml,9,2026-08-10T16:08:02+00:00
DNB,bank,lever,dnb,https://api.lever.co/v0/postings/dnb?mode=json,132,2026-08-10T16:08:10+00:00
Julius Baer,bank,ashby,julius,https://api.ashbyhq.com/posting-api/job-board/julius,4,2026-08-16T06:51:37+00:00
KBC Group,bank,personio,kbc,https://kbc.jobs.personio.com/xml,6,2026-08-10T16:08:10+00:00
National Bank of Fujairah,bank,greenhouse,national,https://boards-api.greenhouse.io/v1/boards/national/jobs?content=false,7,2026-08-10T16:25:06+00:00
Paragon Banking Group,bank,ashby,paragon,https://api.ashbyhq.com/posting-api/job-board/paragon,2,2026-08-16T06:51:48+00:00
Rand Merchant Bank,bank,pinpoint,rand,https://rand.pinpointhq.com/postings.json,5,2026-08-10T16:24:47+00:00
Rothschild and Co,bank,pinpoint,rothschildandco,https://rothschildandco.pinpointhq.com/postings.json,3,2026-08-10T16:07:57+00:00
Shawbrook Bank,bank,smartrecruiters,shawbrook,https://api.smartrecruiters.com/v1/companies/shawbrook/postings?limit=100,40,2026-08-16T06:51:26+00:00
Standard Bank,bank,recruitee,standard,https://standard.recruitee.com/api/offers/,2,2026-08-10T16:08:16+00:00
Standard Chartered,bank,recruitee,standard,https://standard.recruitee.com/api/offers/,2,2026-08-10T16:06:51+00:00
Stifel,bank,smartrecruiters,stifel,https://api.smartrecruiters.com/v1/companies/stifel/postings?limit=100,1,2026-08-10T16:07:57+00:00
United Bank for Africa,bank,teamtailor,united,https://united.teamtailor.com/jobs.rss,15,2026-08-10T16:24:57+00:00
Virgin Money,bank,pinpoint,virgin,https://virgin.pinpointhq.com/postings.json,2,2026-08-16T06:51:50+00:00
CMC Markets,broker,personio,cmc,https://cmc.jobs.personio.com/xml,5,2026-08-10T16:12:42+00:00
Carnegie Investment Bank,broker,bamboohr,carnegie,https://carnegie.bamboohr.com/careers/list,1,2026-08-10T16:20:47+00:00
Evolution Markets,broker,smartrecruiters,evolution,https://api.smartrecruiters.com/v1/companies/evolution/postings?limit=100,295,2026-08-10T16:08:05+00:00
Griffin Markets,broker,ashby,griffin,https://api.ashbyhq.com/posting-api/job-board/griffin,3,2026-08-10T16:06:40+00:00
ION Group,broker,lever,ion,https://api.lever.co/v0/postings/ion?mode=json,78,2026-08-10T16:08:10+00:00
Marex Solutions,broker,breezy,marex,https://marex.breezy.hr/json,76,2026-08-10T16:25:53+00:00
Novum Securities,broker,personio,novum,https://novum.jobs.personio.com/xml,3,2026-08-10T16:20:38+00:00
PVM Oil Associates,broker,bamboohr,pvm,https://pvm.bamboohr.com/careers/list,5,2026-08-10T16:06:15+00:00
Pareto Securities,broker,teamtailor,paretosecurities,https://paretosecurities.teamtailor.com/jobs.rss,12,2026-08-10T16:20:26+00:00
TP ICAP,broker,smartrecruiters,tpicap,https://api.smartrecruiters.com/v1/companies/tpicap/postings?limit=100,4,2026-08-10T16:05:55+00:00
Tickmill,broker,bamboohr,tickmill,https://tickmill.bamboohr.com/careers/list,34,2026-08-10T16:12:36+00:00
Tradition,broker,smartrecruiters,tradition,https://api.smartrecruiters.com/v1/companies/tradition/postings?limit=100,3,2026-08-10T16:06:14+00:00
VSA Capital,broker,breezy,vsa,https://vsa.breezy.hr/json,17,2026-08-10T16:20:23+00:00
Vantage Capital Markets,broker,ashby,vantage,https://api.ashbyhq.com/posting-api/job-board/vantage,7,2026-08-10T16:06:12+00:00
XTB,broker,lever,xtb,https://api.lever.co/v0/postings/xtb?mode=json,2,2026-08-10T16:12:23+00:00
Alpha Marine Fuels,bunkers,recruitee,alpha,https://alpha.recruitee.com/api/offers/,2,2026-08-10T16:16:45+00:00
Blue Ocean Bunkering,bunkers,lever,blue,https://api.lever.co/v0/postings/blue?mode=json,10,2026-08-10T16:33:22+00:00
Consolidated Marine Management,bunkers,bamboohr,consolidated,https://consolidated.bamboohr.com/careers/list,1,2026-08-10T16:33:25+00:00
Dan-Bunkering,bunkers,bamboohr,dan,https://dan.bamboohr.com/careers/list,13,2026-08-10T16:13:47+00:00
Minerva Bunkering,bunkers,ashby,minerva,https://api.ashbyhq.com/posting-api/job-board/minerva,9,2026-08-10T16:04:32+00:00
Minerva Bunkering Europe,bunkers,ashby,minerva,https://api.ashbyhq.com/posting-api/job-board/minerva,9,2026-08-10T16:33:14+00:00
Nordic Marine Oil,bunkers,personio,nordic,https://nordic.jobs.personio.com/xml,2,2026-08-10T16:30:14+00:00
Sinopec Fuel Oil,bunkers,bamboohr,sinopec,https://sinopec.bamboohr.com/careers/list,5,2026-08-10T16:30:22+00:00
Victory Fuels,bunkers,greenhouse,victory,https://boards-api.greenhouse.io/v1/boards/victory/jobs?content=false,1,2026-08-10T16:30:11+00:00
World Fuel Services,bunkers,bamboohr,world,https://world.bamboohr.com/careers/list,5,2026-08-10T16:16:56+00:00
ACT Group,carbon,personio,act,https://act.jobs.personio.com/xml,3,2026-08-10T16:17:31+00:00
AFS Energy,carbon,recruitee,afsenergy,https://afsenergy.recruitee.com/api/offers/,4,2026-08-10T16:05:58+00:00
BeZero Carbon,carbon,pinpoint,bezerocarbon,https://bezerocarbon.pinpointhq.com/postings.json,3,2026-08-10T16:12:47+00:00
Carbon Growth Partners,carbon,greenhouse,carbon,https://boards-api.greenhouse.io/v1/boards/carbon/jobs?content=false,21,2026-08-10T16:17:32+00:00
