name,category,domain
Vitol,trading_house,vitol.com
Trafigura,trading_house,trafigura.com
Glencore,trading_house,glencore.com
Mercuria,trading_house,
Gunvor,trading_house,gunvorgroup.com
Hartree Partners,trading_house,
Freepoint Commodities,trading_house,freepoint.com
Castleton Commodities International,trading_house,cci.com
Engelhart Commodities,trading_house,
Onyx Capital Group,trading_house,onyxcapitalgroup.com
Concord Energy,trading_house,
BB Energy,trading_house,
Trammo,trading_house,trammo.com
Traxys,trading_house,traxys.com
Gerald Group,trading_house,geraldgroup.com
IXM,trading_house,
Concord Resources,metals,concordresources.com
Auramet,metals,auramet.com
Baird and Co,metals,
Sucden,softs,sucden.com
Czarnikow,softs,czarnikow.com
ED and F Man,softs,edfman.com
Louis Dreyfus Company,softs,
Bunge,softs,bunge.com
Cargill,softs,
Viterra,softs,viterra.com
COFCO International,softs,
Olam Agri,softs,olamagri.com
Ameropa,softs,ameropa.com
Alvean,softs,alvean.com
Wilmar International,softs,
ofi,softs,ofi.com
Sucafina,softs,sucafina.com
Touton,softs,touton.com
Volcafe,softs,volcafe.com
ECOM Agroindustrial,softs,ecomtrading.com
Scoular,softs,scoular.com
ADM,softs,adm.com
Frontier Agriculture,softs,frontierag.co.uk
Openfield,softs,openfield.co.uk
Gleadell,softs,
BP,major,bp.com
Shell,major,shell.com
Equinor,major,equinor.com
Eni,major,eni.com
Repsol,major,repsol.com
TotalEnergies,major,totalenergies.com
Aramco Trading,major,aramcotrading.com
ADNOC,major,adnoc.ae
QatarEnergy,major,qatarenergy.qa
SOCAR Trading,major,socartrading.com
OMV,major,omv.com
Orlen,major,orlen.pl
Petrobras,major,petrobras.com.br
Varo Energy,refining,
Greenergy,refining,
Prax Group,refining,praxgroup.com
Neste,refining,neste.com
Puma Energy,refining,pumaenergy.com
World Kinect,refining,world-kinect.com
Phillips 66,refining,phillips66.com
Valero,refining,valero.com
Chevron,refining,chevron.com
Integr8 Fuels,bunkers,integr8fuels.com
KPI OceanConnect,bunkers,kpioceanconnect.com
Minerva Bunkering,bunkers,minervabunkering.com
Peninsula,bunkers,peninsulapetroleum.com
Monjasa,bunkers,monjasa.com
Bunker Holding,bunkers,bunker-holding.com
Cockett Marine Oil,bunkers,cockettgroup.com
EDF Trading,power_gas,
Uniper,power_gas,
RWE Supply and Trading,power_gas,rwe.com
SEFE Marketing and Trading,power_gas,sefe-mt.com
Centrica Energy,power_gas,centrica.com
Engie Global Markets,power_gas,engie.com
Statkraft,power_gas,statkraft.com
Vattenfall,power_gas,vattenfall.com
Axpo,power_gas,axpo.com
Fortum,power_gas,
Orsted,power_gas,
Danske Commodities,power_gas,danskecommodities.com
InCommodities,power_gas,incommodities.com
MET Group,power_gas,met.com
Alpiq,power_gas,alpiq.com
Drax,power_gas,drax.com
SSE,power_gas,sse.com
VPI,power_gas,vpi-i.com
Habitat Energy,flex_optimiser,habitat.energy
Arenko,flex_optimiser,arenko.group
Limejump,flex_optimiser,limejump.com
Flexitricity,flex_optimiser,flexitricity.com
Field,flex_optimiser,field.energy
Harmony Energy,flex_optimiser,harmonyenergy.co.uk
Gresham House,flex_optimiser,greshamhouse.com
Zenobe,flex_optimiser,
Pulse Clean Energy,flex_optimiser,pulsecleanenergy.com
Octopus Energy,flex_optimiser,octopus.energy
Kraken Technologies,flex_optimiser,kraken.tech
SmartestEnergy,flex_optimiser,smartestenergy.com
Axle Energy,flex_optimiser,axle.energy
Piclo,flex_optimiser,piclo.energy
Modo Energy,flex_optimiser,modoenergy.com
