name,category,domain
Trafigura,trading_house,trafigura.com
Bunge,softs,bunge.com
Viterra,softs,viterra.com
Czarnikow,softs,czarnikow.com
Cargill,softs,
Traxys,trading_house,traxys.com
IXM,trading_house,
Trammo,trading_house,trammo.com
Auramet,metals,auramet.com
Glencore,trading_house,glencore.com
Mercuria,trading_house,
Scoular,softs,scoular.com
BP,major,bp.com
Openfield,softs,openfield.co.uk
Ameropa,softs,ameropa.com
Alvean,softs,alvean.com
Sucden,softs,sucden.com
ofi,softs,ofi.com
Concord Energy,trading_house,
Concord Resources,metals,concordresources.com
Sucafina,softs,sucafina.com
Equinor,major,equinor.com
Shell,major,shell.com
Repsol,major,repsol.com
Gunvor,trading_house,gunvorgroup.com
Touton,softs,touton.com
TotalEnergies,major,totalenergies.com
ADM,softs,adm.com
Volcafe,softs,volcafe.com
OMV,major,omv.com
QatarEnergy,major,qatarenergy.qa
Petrobras,major,petrobras.com.br
Wilmar International,softs,
Gleadell,softs,
Hartree Partners,trading_house,
Gerald Group,trading_house,geraldgroup.com
Eni,major,eni.com
ADNOC,major,adnoc.ae
Valero,refining,valero.com
Baird and Co,metals,
COFCO International,softs,
Orlen,major,orlen.pl
Freepoint Commodities,trading_house,freepoint.com
Olam Agri,softs,olamagri.com
ED and F Man,softs,edfman.com
Neste,refining,neste.com
Statkraft,power_gas,statkraft.com
Fortum,power_gas,
Uniper,power_gas,
Orsted,power_gas,
Aramco Trading,major,aramcotrading.com
Varo Energy,refining,
Monjasa,bunkers,monjasa.com
SOCAR Trading,major,socartrading.com
InCommodities,power_gas,incommodities.com
SSE,power_gas,sse.com
KPI OceanConnect,bunkers,kpioceanconnect.com
Axpo,power_gas,axpo.com
Alpiq,power_gas,alpiq.com
Drax,power_gas,drax.com
Puma Energy,refining,pumaenergy.com
Phillips 66,refining,phillips66.com
Prax Group,refining,praxgroup.com
Limejump,flex_optimiser,limejump.com
Flexitricity,flex_optimiser,flexitricity.com
Bunker Holding,bunkers,bunker-holding.com
Zenobe,flex_optimiser,
RWE Supply and Trading,power_gas,rwe.com
EDF Trading,power_gas,
Apatura,flex_optimiser,
Engie Global Markets,power_gas,engie.com
Cockett Marine Oil,bunkers,cockettgroup.com
DRW,prop_mm,drw.com
Centrica Energy,power_gas,centrica.com
Optiver,prop_mm,optiver.com
Gresham House,flex_optimiser,greshamhouse.com
Danske Commodities,power_gas,danskecommodities.com
Conrad Energy,flex_optimiser,conradenergy.co.uk
OSTC,prop_mm,
G-Research,prop_mm,gresearch.com
Citadel Securities,prop_mm,
Corona Energy,flex_optimiser,coronaenergy.co.uk
PEAK6,prop_mm,peak6.com
SEFE Marketing and Trading,power_gas,sefe-mt.com
Woodside Energy,lng,woodside.com
Andurand Capital,fund,andurandcapital.com
Futex,prop_mm,
JERA Global Markets,lng,
Eku Energy,flex_optimiser,ekuenergy.com
Hoegh Evi,lng,hoeghevi.com
Northlander Commodity Advisors,fund,
Cheniere Marketing,lng,cheniere.com
Verition,fund,verition.com
Millennium,fund,mlp.com
Rokos Capital,fund,rokoscapital.com
Wolverine Trading,prop_mm,
Svelland Capital,fund,svelland.com
Eisler Capital,fund,
ICIS,data_vendor,icis.com
Brevan Howard,fund,brevanhoward.com
Westbeck Capital,fund,westbeckcapital.com
Capula Investment Management,fund,capulaglobal.com
Autonomy Capital,fund,autonomycapital.com
Lansdowne Partners,fund,lansdownepartners.com
Moore Capital,fund,
Balyasny Asset Management,fund,bamfunds.com
