name,ats,token,tenant,dc,site,locale,board_url,found_on
Gunvor,workday,gunvor/Gunvor_Careers,gunvor,wd3,Gunvor_Careers,,https://gunvor.wd3.myworkdayjobs.com/wday/cxs/gunvor/Gunvor_Careers/jobs,https://gunvorgroup.com/
Castleton Commodities International,workday,osv-cci/CCICareers,osv-cci,wd1,CCICareers,,https://osv-cci.wd1.myworkdayjobs.com/wday/cxs/osv-cci/CCICareers/jobs,https://cci.com/
Onyx Capital Group,workable,onyx-capital-group,,,,,,https://onyxcapitalgroup.com/
ECOM Agroindustrial,teamtailor,ecomtradinggroup,,,,,,https://ecomtrading.com/
Vitol,smartrecruiters,Vitol,,,,,,http://www.vitol.com/careers/
Viterra,workday,viterra/External-CAN,viterra,wd3,External-CAN,,https://viterra.wd3.myworkdayjobs.com/wday/cxs/viterra/External-CAN/jobs,https://www.viterra.com/job-search
Trafigura,workday,trafigura/TrafiguraCareerSite,trafigura,wd3,TrafiguraCareerSite,,https://trafigura.wd3.myworkdayjobs.com/wday/cxs/trafigura/TrafiguraCareerSite/jobs,https://www.trafigura.com/careers/
BP,workday,bpinternational/bpCareers,bpinternational,wd3,bpCareers,,https://bpinternational.wd3.myworkdayjobs.com/wday/cxs/bpinternational/bpCareers/jobs,https://careers.bp.com
Equinor,workday,equinor/EQNR,equinor,wd3,EQNR,,https://equinor.wd3.myworkdayjobs.com/wday/cxs/equinor/EQNR/jobs,https://www.equinor.com/careers
World Kinect,workday,wfscorp/wfscareers,wfscorp,wd5,wfscareers,,https://wfscorp.wd5.myworkdayjobs.com/wday/cxs/wfscorp/wfscareers/jobs,https://www.world-kinect.com/
Puma Energy,workday,trafigura/Puma_Energy_Careers,trafigura,wd3,Puma_Energy_Careers,,https://trafigura.wd3.myworkdayjobs.com/wday/cxs/trafigura/Puma_Energy_Careers/jobs,https://pumaenergy.com/careers/
Integr8 Fuels,workable,navig8,,,,,,https://integr8fuels.com/careers/
Shell,workday,shell/ShellCareers,shell,wd3,ShellCareers,,https://shell.wd3.myworkdayjobs.com/wday/cxs/shell/ShellCareers/jobs,https://shell.wd3.myworkdayjobs.com/shellcareers#vanity-aHR0cHM6Ly93d3cuc2hlbGwuY29tL2NhcmVlcnMvam9icy5odG1s
Peninsula,pinpoint,peninsula360,,,,,,https://www.peninsula360.com/careers/
Field,pinpoint,field,,,,,,https://www.field.energy/careers
Arenko,bamboohr,arenko,,,,,,https://arenko.group/careers/
Octopus Energy,lever,octoenergy,,,,,,https://octopus.energy/careers/
Piclo,greenhouse,embed,,,,,,https://www.piclo.com/careers
Enspired,recruitee,enspired,,,,,,https://www.enspired-trading.com/
Fidra Energy,bamboohr,fidra,,,,,,https://fidraenergy.com/careers/
Excelerate Energy,workday,excelerateenergy/ExcelerateEnergy,excelerateenergy,wd503,ExcelerateEnergy,en-US,https://excelerateenergy.wd503.myworkdayjobs.com/wday/cxs/excelerateenergy/ExcelerateEnergy/jobs,https://excelerateenergy.com/careers/
